lynda burton,39099089,3/14/2018 18:39,RT @CarolineLucas: There's something particularly awful about the way the Govt refuse to admit NHS failings and then attack Labour in Wales…,548,40,123,-1,1
Rajesh Chavan,2377384326,3/14/2018 18:39,"RT @LiveLawIndia: K’taka HC Refuses Bail To Nalapad Haris, Saying CCTV Footage Shows Attack Was Horrifying &amp; Terrifying [Read Order] 

 htt…",45,370,219,-0.95,1
SBTanner,25152616,3/14/2018 18:39,"RT @brianklaas: When Nordstrom pulled Ivanka’s clothing line, Trump tweeted immediately and angrily denounced them.

When America’s closest…",1923,261,1363,-0.5,1
Andrew Clark,14165769,3/14/2018 18:39,"@karlos68 @Gary_M_Wilkes @JuliaHB1 Ummm, who is in charge in London? Khan failed to put barriers on London Bridge. That attack is on him.",0,215,1040,-0.5,0.3
FIGHT4MUFC,2367597721,3/14/2018 18:39,"@Hayles_101 His selections and the way he approached it was outdated, had he just said go out and play and attack w… https://t.co/n33Ldk1S4I",0,2395,1174,-0.4,0.633333333
libbyliberal,3294291206,3/14/2018 18:39,"RT @SuckMyLEFTJuan: #PMQs
#JeremyCorbyn: ""The attack in #Salisbury was an appalling act of violence.""
""Our response as a country must be gu…",5,4134,4974,-0.35,0.9
Marisol,7.49456E+17,3/14/2018 18:39,"RT @scrowder: Game on =&gt; College Lecturer Tries to Silence Me, Uses False, Hateful Misinformation in Attack https://t.co/FK8AxJGe8k https:/…",394,4526,0,-0.3,0.466666667
Acky Alan Snack Bar,192154408,3/14/2018 18:39,"RT @CaolanRob: Here's the unedited, RAW footage of the attack. Hopefully it will help you guys or someone else find the far-left scum who d…",21,302,362,-0.265384615,0.430769231
NOT IN MY NAME,2966540723,3/14/2018 18:39,RT @AsaWinstanley: Jeremy Corbyn is asking for evidence that the Russian state was behind the attack in Salisbury &amp; working towards a world…,87,419,854,-0.2,0.35
Kevin Malpass,734371170,3/14/2018 18:39,"RT @jeremycorbyn: The attack in Salisbury was an appalling act of violence, which we condemn in the strongest terms.

The Russian authoriti…",1023,228,373,-0.175,0.45
احسان,39476716,3/14/2018 18:39,"RT @cyalm: If an attack isn’t covered by TV, did the attack really happen? Also, bad for public morale and stuff... https://t.co/yWl8qYy6wB",1,890,1136,-0.166666667,0.311111111
Brendan Duff,961525904,3/14/2018 18:39,"RT @cameron_kasky: @KyleKashuv Americans don’t settle for less than we deserve. We don’t accept inaction, and the #StopSchoolViolenceAct ta…",76,3237,372,-0.166666667,0.066666667
madmax,9.46586E+17,3/14/2018 18:39,RT @jackdrat: gamer dudes can remember the attack patterns and timing of every boss battle in Dark Souls but they can’t remember to use som…,21,2,47,-0.15,0.4
Robert Johnson,379948504,3/14/2018 18:39,RT @DerbyChrisW: Jeremy Corbyn's measured and statesmanlike speech in the House today on the #SalisburyAttack was in sharp contrast to the…,199,320,552,-0.125,0.75
Jimi,535438716,3/14/2018 18:39,All I do at work is eat cake and near enough have have a heart attack every time the dank lawyers look at me it’s just not ok,0,916,500,-0.05,0.466666667
John Traynor,842574937,3/14/2018 18:39,John Woodcock sees a nerve agent attack and his only thought is to use it as an excuse to attack Corbyn while getti… https://t.co/MrG7I92B0a,0,1375,2702,-0.025,0.525
Bill Heller,167446775,3/14/2018 18:39,RT @Reuters: Britain expels 23 Russian diplomats over nerve attack on ex-spy https://t.co/G4b9XP0pFD,72,1974,1509,0,0
Silence Dogood,8.35795E+17,3/14/2018 18:39,RT @Reuters: Britain expels 23 Russian diplomats over nerve attack on ex-spy https://t.co/G4b9XP0pFD,72,1604,2901,0,0
Football Stand,8.94917E+17,3/14/2018 18:39,"Yes, Muslims Are Denouncing the Nairobi Terrorist Attack - Mother Jones https://t.co/0Qm3t7Dj06",0,1498,1354,0,0
HamOLicious,1593129367,3/14/2018 18:39,RT @faiza_n_ali: How is this not viral yet? An Illinois contractor bidding to build Trump’s wall on the Mexican border was among three men…,6558,16,118,0,0
Mario Vasquez,9.07433E+17,3/14/2018 18:39,🗽🌎Why Moscow Will Never Apologize for Attack on Ex-Spy https://t.co/hLWNzrIHRi,1,3456,4611,0,0
C.K. Evans,2805190187,3/14/2018 18:39,"RT @NatashaBertrand: UK will expel 23 Russian diplomats after nerve agent attack; they have 1 week to leave, per Theresa May",1809,311,1448,0,0
Chris Shaw,149647740,3/14/2018 18:39,RT @AFP_Sport: Moscow shrugs off London's decision not to send British ministers and royals to Russia's World Cup over a nerve agent attack…,4,4217,876,0,0
curly headed cutie,3453742875,3/14/2018 18:39,RT @OhEmmeG: why niggas talk about cheating like its a car accident or a heart attack lmaooooo https://t.co/rMRFdqBAsW,30872,1101,865,0,0
Lawson Mulvihill,15935549,3/14/2018 18:39,"RT @McFaul: According to PM May, Russia attacked one of our most closest allies, using an illegal weapon to harm hundreds.  Whether an assa…",1554,3540,3280,0,0.5
Nicky  🌹,1337690030,3/14/2018 18:39,RT @WarwickHunt4: The same media voices who didn't put a brake on Blair over Iraq now attack Corbyn for doing his (&amp; their) job of holding…,83,490,1663,0,0.125
PD Crime Beat,55306638,3/14/2018 18:39,Man shot in legs after trying to stop attack on woman in St. Louis https://t.co/fCftHjHDCQ,0,1621,1,0,0
Shag,72818535,3/14/2018 18:39,RT @faiza_n_ali: How is this not viral yet? An Illinois contractor bidding to build Trump’s wall on the Mexican border was among three men…,6558,59,76,0,0
GhettoKnight,37218742,3/14/2018 18:39,RT @ShehabKhan: Corbyn has gone from looking isolated today on his position of not blaming Russia and Putin for the Salisbury attack to now…,82,615,1029,0,0
KasiaK,3396674373,3/14/2018 18:39,Where is my #netflix ? -panic attack-,0,10,257,0,0
🇺🇸❣️Patriot Lexi❣️🇺🇸,2595263312,3/14/2018 18:39,"RT @smartiekat123: Where’s the protest at the Broward County Sheriffs Office    
                  ....And the one at the FBI building?…",40,16982,6756,0,0
Antonio R,2274407522,3/14/2018 18:39,"RT @GrassrootsSpeak: Today Theresa May took a stand against Russia by ejecting Russian Diplomats based on the recent nerve agent attack

Th…",105,259,571,0,0.125
Roman Pisarevskiy,1216078105,3/14/2018 18:39,'The Western #NATO military alliance called on #Russia on Wednesday to give #Britain “complete disclosure” of the S… https://t.co/95iS4Z20nj,0,550,870,0,0.166666667
wayward child,9.52288E+17,3/14/2018 18:39,"RT @VIDEOGRLS: listen yeah, why is being black or being part of a certain island only valid if you have euroccentric features? you man that…",21,34,31,0.015873016,0.668253968
Linda Lowe #JC4PM,713285621,3/14/2018 18:39,"RT @Gtr910: Just saw Stephen Kinnock on @BBCNews. Looks like the Blairites in the PLP are at it again. Essentially, weaponising the whole S…",28,1840,3397,0.1,0.35
Anbar zehra PTI,9.69496E+17,3/14/2018 18:39,"Very Sad news...
Either Punjab Police s Most curupt and Ghunday of Pak. They had killed many innocent like model to… https://t.co/bXD0vy59fZ",0,64,302,0.13,0.54
Greg Worrall,246519777,3/14/2018 18:39,RT @SethMacFarlane: 1. A President behaves DAILY in an erratic fashion. He lies openly and frequently about things that can be easily fact-…,689,519,1331,0.133333333,0.408333333
Jabstradamus,159864583,3/14/2018 18:39,RT @SethMacFarlane: 1. A President behaves DAILY in an erratic fashion. He lies openly and frequently about things that can be easily fact-…,689,333,416,0.133333333,0.408333333
Reckless in Texas,4384975872,3/14/2018 18:39,RT @SethMacFarlane: 1. A President behaves DAILY in an erratic fashion. He lies openly and frequently about things that can be easily fact-…,689,166,568,0.133333333,0.408333333
Cuzaus,3194289097,3/14/2018 18:39,RT @AMike4761: Media Silent After Muslim Teen Carries Out Fatal Attack On Classmates In Florida. The story doesn’t fit their AGENDA!…,588,312,282,0.133333333,0.166666667
Anurakti Chaturvedi,7.30332E+17,3/14/2018 18:39,"RT @ShefVaidya: So the Rohingya Muslims sneak into our country, live like leeches on our money, and have the gumption to attack our journal…",695,440,233,0.136363636,0.5
Andrew Olsen,43907144,3/14/2018 18:39,"As more news breaks, some weaponized nerve agents have been developed in the former USSR in the 1970-80s adding to… https://t.co/6nD96L0D0d",0,221,459,0.2,0.266666667
Mary O'Callaghan,276280505,3/14/2018 18:39,"RT @NRDC: Entry fees to parks like @GrandCanyonNPS and @YellowstoneNPS would more than double, up to $70, but energy companies would get di…",17,948,2039,0.25,0.25
Simon Eardley,1899936542,3/14/2018 18:39,RT @SenJohnMcCain: Important action by PM @theresa_may to hold #Putin accountable for the chemical attack in Salisbury. The United States m…,641,955,1856,0.25,0.55
thegirl20,7.34812E+17,3/14/2018 18:39,"RT @soapscoop: 9 reasons why Emmerdale is on fire right now, from Joe Tate's return to Ross Barton's acid attack https://t.co/PIuiR0roXE",24,42,40,0.285714286,0.535714286
Levi Chapman,1477780782,3/14/2018 18:39,"RT @ArfMeasures: Flight attendant: Is anyone on board a doctor?

Me: No, I'm on board a plane haha

Man having a heart attack: ok I'm ready…",66,195,175,0.3,0.4
™,193790325,3/14/2018 18:39,@barcastuff__ @Dembouz make us proud. And don't loose the ball that will give away a counter attack.,0,685,663,0.361538462,0.634615385
Red_devil_4_life,2926411807,3/14/2018 18:39,RT @LiamPaulCanning: It’s clear that Alexis Sánchez isn’t performing to the level he was at Arsenal. I don’t think we’ll see the best from…,116,244,614,0.55,0.341666667
TYF Terror Do Rio,8.54557E+17,3/14/2018 18:39,"RT @realmadriden: 🇧🇷👏 @Casemiro, more decisive than ever in attack!
➡ 3 assists
⚽ 6 goals
Relive them!  👇

https://t.co/w8MGs06uNh",32,520,272,0.78125,0.5
Joe,386331159,3/14/2018 18:39,"RT @_JakubJanda: Russia has a great friend in the UK. Jeremy Corbyn.

Labour MPs Are Furious At Jeremy Corbyn And His Spokeperson For Refus…",9,11349,6336,0.8,0.75
username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
