username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
NathanielÜ?ùäÊ?,175648750,3/14/2018 18:37,@MattBracken48 @jihadwatchRS Buddha? It must have been Buddha to be so violent?.. No? Of course it was Mohammed. ThÉ?? https://t.co/00VVwxwAGV,0,9634,8757,-0.8,1
AlabamaKnight,8.43E+17,3/14/2018 18:37,"RT @LauraLoomer: MUST LISTEN! VERY DISTURBING: 

911 call to #PalmBeach Gardens police about the fatal Islamic terrorist stabbing attack inÉ??",559,181,28,-0.625,0.9
???????Ò ???????Ò??,3692976081,3/14/2018 18:37,#PT UPDATE on #Syria: What some observers have failed to notice is that the 3 blocs in E. #Ghouta encircled by theÉ?? https://t.co/QwgFrb2N2x,0,34,338,-0.5,0.3
Evvo  #FBPE,305658710,3/14/2018 18:37,"RT @Jay_Beecher: @realDonaldTrump Out in April 2018, my new book, THE FIFTH COLUMN. Includes the true violent history of Islam, shocking inÉ??",1,1447,1537,-0.328409091,0.776136364
the lotus eater,26452283,3/14/2018 18:38,RT @nikhil_thatte: Hindu terrorist Aseemanand's confession goes missing in a court while hundreds of falsely implicated Muslim youths languÉ??,63,1468,76,-0.3,0.275
Drnknmonk,8.87E+17,3/14/2018 18:37,"@BradSherman Financing terrorism trough blockchain ? Get your shit together. If i would be a terrorist, i could useÉ?? https://t.co/CED1Pdv61R",0,166,117,-0.2,0.8
Sargejim,2220380616,3/14/2018 18:37,RT @Thad8920: Good...if it were up to me we'd torture the ever lovin shit out of EVERY terrorist we could get our hands on. Then put theirÉ??,8,15744,15157,-0.2,0.8
WRY TOAST,37826027,3/14/2018 18:37,"@mikeypubbah @AntonioSabatoJr SheÉ??s a terrorist, and 7 thousand kids have been killed here in the gun nut nation siÉ?? https://t.co/0imtwBieIK",0,455,2240,-0.2,0
TheGhostWriterTomes,4824266220,3/14/2018 18:38,RT @JordanSchachtel: Leader of CAIR freaking out about POTUS decision to appoint Pompeo as Sec State. Pompeo has historically supported desÉ??,938,800,1548,-0.05,0.3
Franky M???ß????,9.34E+17,3/14/2018 18:38,@RollingStone Nobody cares and nobody respects @RollingStone since you had a terrorist on the cover ???˙É?çÉ??ã?èÉ?? https://t.co/FLl5BNZHZi,0,533,397,0,0
Matthew Laurance,1329191972,3/14/2018 18:38,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,1373,781,0,0
Pat Bayman,477221194,3/14/2018 18:38,And yet they let in a person they say is a terrorist without a second look... https://t.co/oP06CAGx04,0,92,124,0,0
wine mom,7.01E+17,3/14/2018 18:38,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,538,443,0,0
Linda Roberts,8.70E+17,3/14/2018 18:38,RT @LauraLoomer: ISLAMIC TERRORIST STABS 3 CHILDREN IN FLORIDA! MEDIA IS SILENT! https://t.co/IxweNPGRoa,7049,1533,1249,0,0.1
Joshua McDonald,61414013,3/14/2018 18:38,@GomessQ @TomTaylorMade for an indefinite amount of time Just for being SUSPECTED of being a terrorist. Both republÉ?? https://t.co/jUguMVRzbt,0,318,300,0,0
IB Mee,53648074,3/14/2018 18:38,RT @CrusherWinston: @DLoesch Confiscate guns because a islamic terrorist shoots 17 people at a school? that sounds like a nazi move from thÉ??,1,2090,3276,0,0
MAGA,3271372736,3/14/2018 18:38,RT @TruckinPete101: ISLAMIC TERRORIST STABS 3 CHILDREN IN FLORIDA! MEDIA IS SILENT! https://t.co/66ZUjLDrpP,1102,88,194,0,0.1
Moody ??è?É?´ã?è??è???????è?É?çÉ??ã?è??è???è?É?çÉ??ã?è???ú??è?É?çÉ??ã?èÉ????è?É?çÉ??ã?è??è?,2408028894,3/14/2018 18:38,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,637,1377,0,0
nimsz,42474302,3/14/2018 18:38,RT @peopIeofearth: A muslim girl distributing roses in Paris after terrorist attack https://t.co/7IjU4smQaJ,9,266,341,0,0
Geoff Lane,405186224,3/14/2018 18:38,RT @georgegalloway: IF only #Russia had access to #Novichok WHY would they choose that weapon to mount a terrorist attack in England? MightÉ??,16,322,405,0,1
joe best,8.95E+17,3/14/2018 18:38,RT @Okasikasi: Even devil will not join Cloned Buhari govt to call IPOB terrorist. But it is shameful and foolishness that Cloned Buhari anÉ??,3,50,101,0,0
alexis,893714588,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,296,447,0,0
McSurly,334403422,3/14/2018 18:37,"@realDonaldTrump You havenÉ??t said anything about the Russian terrorist attack in London, you Russian stooge.",0,192,997,0,0
YaGal,346969633,3/14/2018 18:37,"RT @usblm: The NRA is a terrorist organization.
The NRA is a terrorist organization.
The NRA is a terrorist organization.
The NRA is a terrÉ??",13322,230,168,0,0
Tay'Challa Gladiates,941081893,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1394,2586,1064,0,0
Scoobydotaxi,8.46E+17,3/14/2018 18:37,RT @georgegalloway: IF only #Russia had access to #Novichok WHY would they choose that weapon to mount a terrorist attack in England? MightÉ??,16,366,376,0,1
Nicole David,2301675037,3/14/2018 18:37,"RT @WilDonnelly: Here is your next Secretary of State pushing conspiracy theories and celebrating the crimes of a non-state, anti-American,É??",513,4338,1929,0,0
DSMITH,17240656,3/14/2018 18:37,"RT @ALT_uscis: While thousands of kids are out to ask for protection, the @NRA terrorist organization tweeted this. https://t.co/FJumSc6fyW",191,92,311,0,0
????nelly,2941025116,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,270,220,0,0
S.????,954589092,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,621,265,0,0
The Rational Hindu,7.66E+17,3/14/2018 18:37,@bmhegde @subrayakrishna @Manju_Hegade @nimmasuresh @CTRavi_BJP @RSSorg @DattaHosabale @rammadhavbjp @PiyushGoyalÉ?? https://t.co/AGxuwwtqYz,0,28,26,0,0
"Yes, IMSCARED ????",86146534,3/14/2018 18:37,The NRA is a terrorist organization.  https://t.co/hYrZuDV2Hz,0,806,886,0,0
Lacey,349277032,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,91,386,0,0
Crypto millennials,8.60E+17,3/14/2018 18:37,"""Maybe we'll have another hearing after a terrorist event financed by $Crypto"" - @BradSherman.            This is SÉ?? https://t.co/F4g4BtIAkb",0,137,254,0,0
Alexia Zamora,2328198115,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,384,560,0,0
hailey Éùúã?è,7.88E+17,3/14/2018 18:37,RT @profsassy: The fact that I don't see #DraylenMason's name plastered everywhere across my Twitter feed infuriates me. Never ever tell meÉ??,1396,153,424,0,0
What Ever!,2732474356,3/14/2018 18:37,@mflynnJR fascist The @NRA is a terrorist organization and not only #Trump works for them but anybody who receivesÉ?? https://t.co/9OuCoppjhO,0,330,278,0,1
Craig Stockton,9.54E+17,3/14/2018 18:38,"RT @LauraLoomer: Police Chief in #PalmBeach said Corey Johnson, the 17 yr old Islamic terrorist who sliced a 13 yr old boy's throat open anÉ??",683,105,230,0.066666667,0.3
Amir Khan,63180532,3/14/2018 18:37,@Lakhbir51663199 @spvaid The dead terrorist is still Indian and deserve traditional cremation to break him free from his material bonds.,0,1324,2684,0.066666667,0.65
praise hanuman @UniversalFanCon,7.39E+17,3/14/2018 18:37,He technically a terrorist but shout out to a real one https://t.co/TAOOIi5zNo,0,190,871,0.1,0.2
MaRiaH Raza???Ê???¯,3316128059,3/14/2018 18:38,RT @viitvdotcom: #US officials confirm that #Afghanistan has become the biggest #terrorist safe haven in the world with potential to destabÉ??,8,4726,293,0.25,0.75
Robo-Kek ???ß????,8.90E+17,3/14/2018 18:38,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,203,440,0.285714286,0.535714286
Mark Mueller,4896646593,3/14/2018 18:37,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,354,524,0.285714286,0.535714286
Edward Cooper,185748784,3/14/2018 18:37,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,192,161,0.285714286,0.535714286
Ralph L.,42166921,3/14/2018 18:37,"RT @LauraLoomer: Students in FL are walking out of class right now to protest violence.

How come students aren't talking about the 17 yr oÉ??",919,75,84,0.285714286,0.535714286
TeleTech Buzz,9.40E+17,3/14/2018 18:37,Omerta Trailer: Rajkumar Rao Playing Terrorist Omar proves his talent once again https://t.co/X6vzoTP7vw #TeleBuzzÉ?? https://t.co/HafOjpvji2,0,3,2,0.3,0
AdorableDeplorable.b,326834999,3/14/2018 18:37,"RT @LauraLoomer: Great work you guys!

.@FoxNews finally decided (25 min ago) to report on the 17 yr old Islamic terrorist in FL who slicedÉ??",578,2762,3601,0.366666667,0.65
English79 on gab.ai,4158855862,3/14/2018 18:38,RT @TRobinsonNewEra: Pakistani terrorist Siraj ul Haq and his Jamat Islami group supports Osama bin Laden and Taliban. They said it many tiÉ??,162,1835,2047,0.5,0.5
Lord Fudsworth,30023845,3/14/2018 18:38,RT @CryptoCobain: Mr Sherman looking hopeful for a terrorist event to redefine the narrative in his favour was an interesting one.,77,121,151,0.5,0.5
Adam,263016218,3/14/2018 18:38,@BradSherman You are telling me terrorist didn't transfer or spend money till cryptocurrency? How the hell did you get elected? Honestly..,0,76,38,0.6,0.9
